"AA",39.48,"6/11/2007","9:36am",-0.18,39.67,39.69,39.45,181800
"AIG",71.38,"6/11/2007","9:36am",-0.15,71.29,71.60,71.15,195500
"AXP",62.58,"6/11/2007","9:36am",-0.46,62.79,63.00,62.57,935000
"BA",98.31,"6/11/2007","9:36am",+0.12,98.25,98.58,98.19,104800
"C",53.08,"6/11/2007","9:36am",-0.25,53.20,53.25,53.03,360900
"CAT",78.29,"6/11/2007","9:36am",-0.23,78.32,78.33,78.06,225400
"DD",50.75,"6/11/2007","9:36am",-0.38,51.13,51.14,50.69,96900
"DIS",34.20,"6/11/2007","9:35am",0.00,34.28,34.30,34.12,191000
"GE",37.23,"6/11/2007","9:36am",-0.09,37.07,37.27,37.05,694300
"GM",31.44,"6/11/2007","9:36am",+0.44,31.00,31.62,30.90,715429
"HD",37.67,"6/11/2007","9:35am",-0.28,37.78,37.83,37.62,218369
"HON",57.12,"6/11/2007","9:35am",-0.26,57.25,57.33,57.11,131100
"HPQ",45.81,"6/11/2007","9:36am",+0.11,45.80,45.85,45.46,303200
"IBM",102.86,"6/11/2007","9:35am",-0.21,102.87,102.99,102.50,151700
"INTC",21.84,"6/11/2007","9:40am",+0.01,21.70,21.85,21.69,2927268
"JNJ",62.25,"6/11/2007","9:35am",+0.12,62.89,62.89,62.15,343500
"JPM",50.35,"6/11/2007","9:36am",-0.06,50.41,50.49,50.27,351100
"KO",51.65,"6/11/2007","9:35am",-0.02,51.67,51.73,51.54,3981400
"MCD",51.11,"6/11/2007","9:35am",-0.30,51.47,51.47,51.00,169100
"MMM",85.60,"6/11/2007","9:35am",-0.34,85.94,85.98,85.50,190800
"MO",70.09,"6/11/2007","9:36am",-0.21,70.25,70.30,70.04,471200
"MRK",50.21,"6/11/2007","9:36am",+0.07,50.30,50.46,50.04,1453300
"MSFT",30.08,"6/11/2007","9:41am",+0.03,30.05,30.09,29.93,6166010
"PFE",26.40,"6/11/2007","9:36am",-0.12,26.50,26.50,26.34,835600
"PG",62.79,"6/11/2007","9:35am",-0.28,62.80,62.87,62.75,256000
"T",40.03,"6/11/2007","9:35am",-0.23,40.20,40.25,39.89,691400
"UTX",69.81,"6/11/2007","9:36am",-0.42,69.85,70.20,69.51,153900
"VZ",42.92,"6/11/2007","9:35am",-0.15,42.95,43.00,42.89,221000
"WMT",49.78,"6/11/2007","9:36am",-0.30,49.90,50.00,49.76,676200
"XOM",82.50,"6/11/2007","9:36am",-0.18,82.68,82.84,82.41,481200
"AA",39.59,"6/11/2007","9:40am",-0.07,39.67,39.69,39.43,252600
"AIG",71.46,"6/11/2007","9:40am",-0.07,71.29,71.60,71.15,276900
"AXP",62.71,"6/11/2007","9:40am",-0.33,62.79,63.00,62.42,1002100
"BA",98.31,"6/11/2007","9:40am",+0.12,98.25,98.58,98.17,149700
"C",53.14,"6/11/2007","9:40am",-0.19,53.20,53.25,53.02,546500
"CAT",78.49,"6/11/2007","9:40am",-0.03,78.32,78.49,78.06,262812
"DD",50.85,"6/11/2007","9:40am",-0.28,51.13,51.14,50.69,155000
"DIS",34.36,"6/11/2007","9:40am",+0.16,34.28,34.38,34.12,276900
"GE",37.30,"6/11/2007","9:40am",-0.02,37.07,37.32,37.05,1039900
"GM",31.40,"6/11/2007","9:40am",+0.40,31.00,31.62,30.90,1074079
"HD",37.72,"6/11/2007","9:40am",-0.23,37.78,37.83,37.62,321769
"HON",57.22,"6/11/2007","9:40am",-0.16,57.25,57.33,57.05,150400
"HPQ",45.954,"6/11/2007","9:40am",+0.254,45.80,45.98,45.46,424600
"IBM",102.95,"6/11/2007","9:40am",-0.12,102.87,102.99,102.50,229500
"INTC",21.85,"6/11/2007","9:46am",+0.02,21.70,21.86,21.69,3605793
"JNJ",62.42,"6/11/2007","9:40am",+0.29,62.89,62.89,62.15,433600
"JPM",50.42,"6/11/2007","9:40am",+0.01,50.41,50.49,50.27,461400
"KO",51.67,"6/11/2007","9:40am",0.00,51.67,51.73,51.54,4010650
"MCD",51.42,"6/11/2007","9:40am",+0.01,51.47,51.47,50.98,245800
"MMM",85.45,"6/11/2007","9:40am",-0.49,85.94,85.98,85.44,225500
"MO",69.95,"6/11/2007","9:40am",-0.35,70.25,70.30,69.95,543600
"MRK",50.58,"6/11/2007","9:40am",+0.44,50.30,50.63,50.04,1586100
"MSFT",30.14,"6/11/2007","9:46am",+0.09,30.05,30.15,29.93,6758871
"PFE",26.46,"6/11/2007","9:40am",-0.06,26.50,26.50,26.34,1101900
"PG",62.97,"6/11/2007","9:40am",-0.10,62.80,63.00,62.75,431246
"T",40.19,"6/11/2007","9:40am",-0.07,40.20,40.25,39.89,874100
"UTX",69.88,"6/11/2007","9:40am",-0.35,69.85,70.20,69.51,191800
"VZ",43.06,"6/11/2007","9:40am",-0.01,42.95,43.07,42.89,322700
"WMT",49.72,"6/11/2007","9:40am",-0.36,49.90,50.00,49.70,822700
"XOM",82.41,"6/11/2007","9:40am",-0.27,82.68,82.84,82.35,705500
"AA",39.78,"6/11/2007","9:46am",+0.12,39.67,39.7946,39.43,347300
"AIG",71.41,"6/11/2007","9:46am",-0.12,71.29,71.60,71.15,378000
"AXP",62.87,"6/11/2007","9:46am",-0.17,62.79,63.00,62.42,1033500
"BA",98.50,"6/11/2007","9:46am",+0.31,98.25,98.58,98.17,195100
"C",53.13,"6/11/2007","9:46am",-0.20,53.20,53.25,53.02,715514
"CAT",78.77,"6/11/2007","9:46am",+0.25,78.32,78.8128,78.06,329712
"DD",50.81,"6/11/2007","9:46am",-0.32,51.13,51.14,50.69,198300
"DIS",34.34,"6/11/2007","9:46am",+0.14,34.28,34.44,34.12,392500
"GE",37.27,"6/11/2007","9:46am",-0.05,37.07,37.34,37.05,1311900
"GM",31.42,"6/11/2007","9:46am",+0.42,31.00,31.62,30.90,1340279
"HD",37.75,"6/11/2007","9:46am",-0.20,37.78,37.83,37.62,459769
"HON",57.20,"6/11/2007","9:46am",-0.18,57.25,57.33,57.05,185700
"HPQ",46.14,"6/11/2007","9:46am",+0.44,45.80,46.15,45.46,797800
"IBM",103.39,"6/11/2007","9:46am",+0.32,102.87,103.47,102.50,413800
"INTC",21.85,"6/11/2007","9:50am",+0.02,21.70,21.93,21.69,4380516
"JNJ",62.52,"6/11/2007","9:46am",+0.39,62.89,62.89,62.15,548200
"JPM",50.48,"6/11/2007","9:46am",+0.07,50.41,50.55,50.27,657600
"KO",51.67,"6/11/2007","9:45am",0.00,51.67,51.77,51.54,4092550
"MCD",51.36,"6/11/2007","9:46am",-0.05,51.47,51.47,50.98,343719
"MMM",85.48,"6/11/2007","9:46am",-0.46,85.94,85.98,85.41,270900
"MO",70.00,"6/11/2007","9:46am",-0.30,70.25,70.30,69.88,723100
"MRK",50.50,"6/11/2007","9:46am",+0.36,50.30,50.63,50.04,1689100
"MSFT",30.175,"6/11/2007","9:50am",+0.125,30.05,30.20,29.93,7234309
"PFE",26.48,"6/11/2007","9:45am",-0.04,26.50,26.52,26.34,1363300
"PG",62.89,"6/11/2007","9:46am",-0.18,62.80,63.00,62.75,553446
"T",40.12,"6/11/2007","9:46am",-0.14,40.20,40.25,39.89,1073400
"UTX",69.92,"6/11/2007","9:46am",-0.31,69.85,70.20,69.51,244600
"VZ",43.09,"6/11/2007","9:46am",+0.02,42.95,43.17,42.89,515110
"WMT",49.78,"6/11/2007","9:46am",-0.30,49.90,50.00,49.65,949000
"XOM",82.60,"6/11/2007","9:46am",-0.08,82.68,82.84,82.35,934200
"AA",40.15,"6/11/2007","9:51am",+0.49,39.67,40.15,39.43,510630
"AIG",71.50,"6/11/2007","9:50am",-0.03,71.29,71.60,71.15,441900
"AXP",62.99,"6/11/2007","9:50am",-0.05,62.79,63.07,62.42,1067820
"BA",98.73,"6/11/2007","9:50am",+0.54,98.25,98.79,98.17,233900
"C",53.15,"6/11/2007","9:51am",-0.18,53.20,53.25,53.02,885114
"CAT",78.88,"6/11/2007","9:50am",+0.36,78.32,78.99,78.06,386652
"DD",51.13,"6/11/2007","9:50am",0.00,51.13,51.14,50.69,274100
"DIS",34.42,"6/11/2007","9:51am",+0.22,34.28,34.44,34.12,448200
"GE",37.35,"6/11/2007","9:50am",+0.03,37.07,37.37,37.05,1541100
"GM",31.28,"6/11/2007","9:50am",+0.28,31.00,31.62,30.90,1715679
"HD",37.74,"6/11/2007","9:51am",-0.21,37.78,37.83,37.62,553869
"HON",57.30,"6/11/2007","9:51am",-0.08,57.25,57.40,57.05,218000
